question,answer,passage
can you take the jeopardy online test more than once,False,"The mandatory waiting period after taking the online contestant exam is one year, although this may be adjusted by the show's production team based on the test schedule. Prospective contestants who have completed an in-person test and interview remain in the contestant pool for 18 months, only after the expiration of which may they take the online test again and attend another in-person audition."
is a palm tree and a coconut tree the same thing,False,"The coconut tree (Cocos nucifera) is a member of the family Arecaceae (palm family) and the only living species of the genus Cocos. The term coconut can refer to the whole coconut palm or the seed, or the fruit, which, botanically, is a drupe, not a nut. The spelling cocoanut is an archaic form of the word. The term is derived from the 16th-century Portuguese and Spanish word coco meaning ``head'' or ``skull'', from the three indentations on the coconut shell that resemble facial features."
is the north pole a line of latitude,True,"The North Pole is the northernmost point on the Earth, lying diametrically opposite the South Pole. It defines geodetic latitude 90° North, as well as the direction of true north. At the North Pole all directions point south; all lines of longitude converge there, so its longitude can be defined as any degree value. Along tight latitude circles, counterclockwise is east and clockwise is west. The North Pole is at the center of the Northern Hemisphere."
did abraham lincoln write the letter in saving private ryan,True,"In the 1998 war film Saving Private Ryan, General George Marshall (played by Harve Presnell) reads the Bixby letter to his officers before giving the order to find and send home Private James Francis Ryan after Ryan's three brothers died in battle."
does beast sing in the original beauty and the beast,True,"``Evermore'' is a song written by composer Alan Menken and lyricist Tim Rice for the musical fantasy film Beauty and the Beast (2017), a live-action remake of Disney's 1991 animated film of the same name. Originally recorded for the film by English actor Dan Stevens, who performs the song in his starring role as the titular Beast, ``Evermore'' was first released as a single by American singer Josh Groban on March 3, 2017. Stevens' version became available on March 10, 2017 when the film's soundtrack was released online, while Groban's cover is played during the film's closing credits."
is the bank of england a private limited company,True,"In 1977, the Bank set up a wholly owned subsidiary called Bank of England Nominees Limited (BOEN), a private limited company, with two of its hundred £1 shares issued. According to its Memorandum & Articles of Association, its objectives are: ``To act as Nominee or agent or attorney either solely or jointly with others, for any person or persons, partnership, company, corporation, government, state, organisation, sovereign, province, authority, or public body, or any group or association of them...'' Bank of England Nominees Limited was granted an exemption by Edmund Dell, Secretary of State for Trade, from the disclosure requirements under Section 27(9) of the Companies Act 1976, because ``it was considered undesirable that the disclosure requirements should apply to certain categories of shareholders.'' The Bank of England is also protected by its royal charter status, and the Official Secrets Act. BOEN is a vehicle for governments and heads of state to invest in UK companies (subject to approval from the Secretary of State), providing they undertake ``not to influence the affairs of the company''. BOEN is no longer exempt from company law disclosure requirements. Although a dormant company, dormancy does not preclude a company actively operating as a nominee shareholder. BOEN has two shareholders: the Bank of England, and the Secretary of the Bank of England.."
does the franchise tag count against the salary cap,False,"Perhaps originally designed to reduce player movement to bigger markets, which is often evidenced in the other major pro sports leagues, the NFL revenue sharing and a hard salary cap have placed teams on an even playing field relative to salaries. The tag options allow NFL franchises an extended bargaining period for a player that they feel is key to their success. Usually reserved for players of great skill or of high importance to the team, a franchise tag allows a team's general manager the privilege of strategically retaining valuable free-agent players while seeking talent through the NFL draft or other acquisitions without exceeding the League's salary cap."
is a registered domestic partnership the same as marriage,True,"A domestic partnership is an interpersonal relationship between two individuals who live together and share a common domestic life but are not married (to each other or to anyone else). People in domestic partnerships receive benefits that guarantee right of survivorship, hospital visitation and others."
calcium carbide cac2 is the raw material for the production of acetylene,True,Calcium carbide is a chemical compound with the chemical formula of CaC. Its main use industrially is in the production of acetylene and calcium cyanamide.
can a supreme court justice be forced to resign,True,"According to federal statute, the Court normally consists of the Chief Justice of the United States and eight associate justices who are nominated by the President and confirmed by the Senate. Once appointed, justices have lifetime tenure unless they resign, retire, or are removed from office. Each justice has a single vote in deciding the cases argued before it; the chief justice's vote counts no more than that of any other justice. However, the Chief Justice--when in the majority--decides who writes the court's opinion. Otherwise, the senior justice in the majority assigns the writing of a decision. In modern discourse, the justices are often categorized as having conservative, moderate, or liberal philosophies of law and of judicial interpretation. While a far greater number of cases in recent history have been decided unanimously, decisions in cases of the highest profile have often come down to just one single vote, thereby exposing the justices' ideological beliefs that track with those philosophical or political categories. The Court meets in the Supreme Court Building in Washington, D.C. Its law-enforcement arm, the United States Marshals Service, is under the oversight of the U.S. Department of Justice."
does full moon occur same time around world,True,"A full moon is often thought of as an event of a full night's duration. This is somewhat misleading because its phase seen from Earth continuously waxes or wanes (though much too slowly to notice in real time with the naked eye). Its maximum illumination occurs at the moment waxing has stopped. For any given location, about half of these maximum full moons may be visible, while the other half occurs during the day, when the full moon is below the horizon."
is there such a thing as heat lightning,False,"Heat lightning, sometimes known as silent lightning or dry lightning (mainly used in the American south; not to be confused with dry thunderstorms, which are also often called dry lightning), is a misnomer used for the faint flashes of lightning on the horizon or other clouds from distant thunderstorms that do not appear to have accompanying sounds of thunder."
is brown cane sugar the same as brown sugar,False,"Natural brown sugar, raw sugar or whole cane sugar are sugars that retain a small to large amount of the molasses from the mother liquor (the partially evaporated sugar cane juice). Based upon weight, brown cane sugar when fully refined yields up to 70% white sugar, the degree depending on how much molasses remained in the sugar crystals, which in turn is dependent upon whether the brown sugar was centrifuged or not. As there is more molasses in natural brown sugar, it contains minor nutritional value and mineral content. Some natural brown sugars have particular names and characteristics, and are sold as turbinado, demerara or raw sugar if they have been centrifuged to a large degree. Brown sugars that have been only mildly centrifuged or unrefined (non-centrifuged) retain a much higher degree of molasses and are called various names across the globe according to their country of origin: e.g. panela, rapadura, jaggery, muscovado, piloncillo, etc."
is tooheys new the same as tooheys draught,True,"It can be found on tap at almost any bar in New South Wales. It was first brewed in 1931 and was marketed under the name Tooheys New Special. In the 1970s, the beer began being marketed as Tooheys New Special Draught when sold in cans and bottles, later shortened to Tooheys Draught. Tap beer was still sold as Tooheys New, however. In 1998, the company decided to sell the beer under one name across all modes as Tooheys New."
is there a minor league baseball team in orlando,False,"There had been a grassroots campaign to attract Major League Baseball permanently to Orlando, with initial speculation pointed to the group building an MLB-class stadium with private financing. However, the group has settled for attracting a Class-A minor-league team with a new stadium on International Drive. They announced they were discussing a possible purchase of the Tampa Yankees in 2010, but those plans fell apart when a potential stadium construction deal was struck down."
is kingdom manga based on a true story,True,"Kingdom (キングダム, Kingudamu) is a Japanese manga series written and illustrated by Yasuhisa Hara (原泰久, Hara Yasuhisa). The manga provides a fictionalized account of the Warring States period primarily through the experiences of the war orphan Xin and his comrades as he fights to become the greatest general under the heavens, and in doing so, unifying China for the first time in history. The series was adapted into a thirty-eight episode anime series by studio Pierrot that aired from June 4, 2012 to February 25, 2013. A second season was announced and aired from June 8, 2013 to March 1, 2014. An English language release of the anime was licensed by Funimation."
is there going to be a 2nd infinity wars,True,"The untitled Avengers film, colloquially referred to as Avengers 4, is an upcoming American superhero film based on the Marvel Comics superhero team the Avengers, produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures. It is intended to be the direct sequel to 2018's Avengers: Infinity War, as well as the sequel to 2012's Marvel's The Avengers and 2015's Avengers: Age of Ultron and the twenty-second film in the Marvel Cinematic Universe (MCU). The film is directed by Anthony and Joe Russo, with a screenplay by the writing team of Christopher Markus and Stephen McFeely, and features an ensemble cast with many actors from previous MCU films."
a government is a sovereign member of the world community,False,"Membership within the United Nations system divides the 206 listed states into three categories: 193 member states, 2 observer states, and 11 other states. The sovereignty dispute column indicates states whose sovereignty is undisputed (190 states) and states whose sovereignty is disputed (16 states, out of which there are 6 member states, 1 observer state and 9 other states)."
was the leaning tower of pisa built leaning,False,"The tower's tilt began during construction in the 12th century, caused by an inadequate foundation on ground too soft on one side to properly support the structure's weight. The tilt increased in the decades before the structure was completed in the 14th century. It gradually increased until the structure was stabilized (and the tilt partially corrected) by efforts in the late 20th and early 21st centuries."
is ashley homestore the same as ashley furniture,True,"Ashley HomeStore is an American furniture store chain that sells Ashley Furniture products. Opened in 1997, the chain comprises over 800 locations worldwide. The chain has both corporate and independently owned and operated furniture stores."
is 1 liter of water equal to 1 kg,True,"One litre of liquid water has a mass of almost exactly one kilogram, because the kilogram was originally defined in 1795 as the mass of one cubic decimetre of water at the temperature of melting ice. Subsequent redefinitions of the metre and kilogram mean that this relationship is no longer exact."
is thanksgiving always the last thursday of the month,True,"Thanksgiving, or Thanksgiving Day, is a public holiday celebrated on the fourth Thursday of November in the United States. It originated as a harvest festival. Thanksgiving has been celebrated nationally on and off since 1789, after Congress requested a proclamation by George Washington. It has been celebrated as a federal holiday every year since 1863, when, during the American Civil War, President Abraham Lincoln proclaimed a national day of ``Thanksgiving and Praise to our beneficent Father who dwelleth in the Heavens,'' to be celebrated on the last Thursday in November. Together with Christmas and the New Year, Thanksgiving is a part of the broader fall/winter holiday season in the U.S."
is the fallen movie going to have a sequel,False,"In December 2014, it was announced that Torment, the second installment in the Fallen book series, was in development. It is unknown whether the last two novels, Passion and Rapture, and the spin-off novel, Unforgiven, will be adapted as well. In 2017, producer Kevan Van Thompson asked the fans if they want an adaptation of ``Torment'', showing that the sequel still could be made."
was the movie the way back a true story,True,"The Way Back is a 2010 American survival drama film directed by Peter Weir, from a screenplay by Weir and Keith Clarke. The film is inspired by The Long Walk (1956), the memoir by former Polish prisoner of war Sławomir Rawicz, who claimed to have escaped from a Soviet Gulag and walked 4,000 miles to freedom in World War II. The film stars Jim Sturgess, Colin Farrell, Ed Harris, and Saoirse Ronan, with Alexandru Potocean, Sebastian Urzendowsky, Gustaf Skarsgård, Dragoș Bucur and Mark Strong."
can you use both hands to dribble in basketball,True,"There is an exception to the rule, however, and that is the power dribble. It can only be used once and can only be used after receiving a pass in the lane. The player (usually a center and/or power forward) slams the ball quickly with both hands and retrieves it. This is used to help big men back defenders down and get a strong stance. It usually is used in/near the paint (the lane)."
is cape town the capital city of south africa,True,"As the place where the Parliament of South Africa is found, Cape Town is the legislative capital of South Africa. The other two capitals are located in Pretoria (the administrative capital where the President and Cabinet work) and Bloemfontein (the judicial capital where the National Court of Appeal is located). The city is known for its harbour, for its natural setting in the Cape Floristic Region, and for landmarks as Table Mountain and Cape Point. As of 2014, it is the 10th most populous city in Africa and home to 64% of the Western Cape's population. It is one of the most multicultural cities in the world, reflecting its role as a major destination for immigrants and expatriates to South Africa. The city was named the World Design Capital for 2014 by the International Council of Societies of Industrial Design. In 2014, Cape Town was named the best place in the world to visit by both The New York Times and The Daily Telegraph."
is samurai champloo based on a true story,True,"Samurai Champloo contains many scenes and episodes relating to historical occurrences in Japan's Edo period. In episode 5 (``Artistic Anarchy''), Fuu is kidnapped by the famous ukiyo-e painter Hishikawa Moronobu, a figure prominent in the Edo period's art scene. Episode 23 (``Baseball Blues'') pits the main characters in a baseball game against Alexander Cartwright and a team of American baseball players trying to declare war on Japan. As for Western influences, the opening of the show as well as many of the soundtracks are influenced by hip hop. In episode 5, Vincent van Gogh is referenced at the end in relation to Hishikawa Moronobu's ukiyo-e paintings. A hip hop singer challenges the main characters in episode 8 (``The Art of Altercation'') and uses break dance throughout. In episode 18 (``War of the Words''), graffiti tagging, a culturally Western art form, is performed by characters as an artistic expression and form of writing. The ending of the episode has Mugen writing his name on the roof of Hiroshima Castle, the palace of the daimyō in Edo Japan."
has there been any space missions to mars,False,"A human mission to Mars has been the subject of science fiction, aerospace engineering, and scientific proposals since the 19th century. The plans comprise proposals to land on Mars, eventually settling on and terraforming the planet, while utilizing its moons, Phobos and Deimos."
does the b 52 have a tail gunner,True,"A tail gunner or rear gunner is a crewman on a military aircraft who functions as a gunner defending against enemy fighter attacks from the rear, or ``tail'', of the plane. The tail gunner operates a flexible machine gun emplacement in the tail end of the aircraft with an unobstructed view toward the rear of the aircraft. While the term tail gunner is usually associated with a crewman inside a gun turret, the first tail guns were operated from open apertures within the aircraft's fuselage, like in the Scarff ring mechanism used in the British Handley Page V/1500 (a 1918 aircraft), and also, in the most evolved variants of this type of air-to-air anti-aircraft defense, they may also be operated by remote control from another part of the aircraft, like in the American B-52 bombers (an aircraft first introduced in 1955 but still in service)."
is fox and 21st century fox the same,True,"21st Century Fox's assets include the Fox Entertainment Group--owners of the 20th Century Fox film studio (the company's partial namesake), Fox television network and Fox News channel, and a majority stake in National Geographic Partners--the commercial media arm of the National Geographic Society, among other assets. It also has significant foreign operations, including the pan-Asian pay channel operator Star TV, as well as an approximately 39% stake in Sky plc--a European operator of satellite television providers and pay channels in Austria, Germany, Italy, Ireland, and the United Kingdom."
does a karyotype tell all of a person's genetic characteristics,True,A karyotype is the number and appearance of chromosomes in the nucleus of an eukaryotic cell. The term is also used for the complete set of chromosomes in a species or in an individual organism and for a test that detects this complement or measures the number.
original wizard of oz was it in color,True,"In his book The Wonderful Wizard of Oz, Baum describes Kansas as being ``in shades of gray''. Further, Dorothy lived inside a farmhouse which had its paint blistered and washed away by the weather, giving it an air of grayness. The house and property were situated in the middle of a sweeping prairie where the grass was burnt gray by harsh sun. Aunt Em and Uncle Henry were ``gray with age''. Effectively, the use of monochrome sepia tones for the Kansas sequences was a stylistic choice that evoked the dull and gray countryside. Much attention was given to the use of color in the production, with the MGM production crew favoring some hues over others. Consequently, it took the studio's art department almost a week to settle on the final shade of yellow used for the yellow brick road."
is there a six flags in houston tx,True,"Six Flags AstroWorld was a seasonally operated theme park located on approximately 57 acres (23 ha) of land (later expanded to over 75 acres (30 ha)) between Kirby Drive and Fannin Avenue, directly south of Loop 610 in Houston, Texas. Opening on June 1, 1968, it was originally developed and constructed as part of the Astrodomain, the brainchild of local philanthropist and former Houston mayor Judge Roy Hofheinz, who intended it to complement The Astrodome."
is a relative clause the same as a subordinate clause,False,"A relative clause is a kind of subordinate clause that contains the element whose interpretation is provided by an antecedent on which the subordinate clause is grammatically dependent; that is, there is an anaphoric relation between the relativized element in the relative clause and antecedent on which it depends."
