question,answer,passage
can you take the jeopardy online test more than once,False,"The mandatory waiting period after taking the online contestant exam is one year, although this may be adjusted by the show's production team based on the test schedule. Prospective contestants who have completed an in-person test and interview remain in the contestant pool for 18 months, only after the expiration of which may they take the online test again and attend another in-person audition."
is the first round of nba playoffs best of 7,True,The NBA playoffs are a best-of-seven elimination tournament annually held after the National Basketball Association's regular season to determine the league's champion.
is a palm tree and a coconut tree the same thing,False,"The coconut tree (Cocos nucifera) is a member of the family Arecaceae (palm family) and the only living species of the genus Cocos. The term coconut can refer to the whole coconut palm or the seed, or the fruit, which, botanically, is a drupe, not a nut. The spelling cocoanut is an archaic form of the word. The term is derived from the 16th-century Portuguese and Spanish word coco meaning ``head'' or ``skull'', from the three indentations on the coconut shell that resemble facial features."
is the north pole a line of latitude,True,"The North Pole is the northernmost point on the Earth, lying diametrically opposite the South Pole. It defines geodetic latitude 90° North, as well as the direction of true north. At the North Pole all directions point south; all lines of longitude converge there, so its longitude can be defined as any degree value. Along tight latitude circles, counterclockwise is east and clockwise is west. The North Pole is at the center of the Northern Hemisphere."
did abraham lincoln write the letter in saving private ryan,True,"In the 1998 war film Saving Private Ryan, General George Marshall (played by Harve Presnell) reads the Bixby letter to his officers before giving the order to find and send home Private James Francis Ryan after Ryan's three brothers died in battle."
does beast sing in the original beauty and the beast,True,"``Evermore'' is a song written by composer Alan Menken and lyricist Tim Rice for the musical fantasy film Beauty and the Beast (2017), a live-action remake of Disney's 1991 animated film of the same name. Originally recorded for the film by English actor Dan Stevens, who performs the song in his starring role as the titular Beast, ``Evermore'' was first released as a single by American singer Josh Groban on March 3, 2017. Stevens' version became available on March 10, 2017 when the film's soundtrack was released online, while Groban's cover is played during the film's closing credits."
is the bank of england a private limited company,True,"In 1977, the Bank set up a wholly owned subsidiary called Bank of England Nominees Limited (BOEN), a private limited company, with two of its hundred £1 shares issued. According to its Memorandum & Articles of Association, its objectives are: ``To act as Nominee or agent or attorney either solely or jointly with others, for any person or persons, partnership, company, corporation, government, state, organisation, sovereign, province, authority, or public body, or any group or association of them...'' Bank of England Nominees Limited was granted an exemption by Edmund Dell, Secretary of State for Trade, from the disclosure requirements under Section 27(9) of the Companies Act 1976, because ``it was considered undesirable that the disclosure requirements should apply to certain categories of shareholders.'' The Bank of England is also protected by its royal charter status, and the Official Secrets Act. BOEN is a vehicle for governments and heads of state to invest in UK companies (subject to approval from the Secretary of State), providing they undertake ``not to influence the affairs of the company''. BOEN is no longer exempt from company law disclosure requirements. Although a dormant company, dormancy does not preclude a company actively operating as a nominee shareholder. BOEN has two shareholders: the Bank of England, and the Secretary of the Bank of England.."
does the franchise tag count against the salary cap,False,"Perhaps originally designed to reduce player movement to bigger markets, which is often evidenced in the other major pro sports leagues, the NFL revenue sharing and a hard salary cap have placed teams on an even playing field relative to salaries. The tag options allow NFL franchises an extended bargaining period for a player that they feel is key to their success. Usually reserved for players of great skill or of high importance to the team, a franchise tag allows a team's general manager the privilege of strategically retaining valuable free-agent players while seeking talent through the NFL draft or other acquisitions without exceeding the League's salary cap."
is a registered domestic partnership the same as marriage,True,"A domestic partnership is an interpersonal relationship between two individuals who live together and share a common domestic life but are not married (to each other or to anyone else). People in domestic partnerships receive benefits that guarantee right of survivorship, hospital visitation and others."
calcium carbide cac2 is the raw material for the production of acetylene,True,Calcium carbide is a chemical compound with the chemical formula of CaC. Its main use industrially is in the production of acetylene and calcium cyanamide.
is there an end scene in infonity war,True,"Additionally, several other actors reprise their MCU roles: Danai Gurira as Okoye, the head of the Dora Milaje; Letitia Wright as T'Challa's sister Shuri; William Hurt as Thaddeus Ross, the U.S. Secretary of State; Kerry Condon as the voice of Stark's A.I. F.R.I.D.A.Y.; Winston Duke as M'Baku, the leader of Wakanda's mountain tribe the Jabari; Florence Kasumba as Ayo, a member of the Dora Milaje; Jacob Batalon as Parker's friend Ned; Isabella Amara as Parker's classmate Sally; Tiffany Espensen as Parker's classmate Cindy; and Ethan Dizon as Parker's classmate Tiny. Samuel L. Jackson and Cobie Smulders make uncredited cameos as Nick Fury and Maria Hill, the former director and deputy director of S.H.I.E.L.D, respectively, in the film's post-credits scene."
can a supreme court justice be forced to resign,True,"According to federal statute, the Court normally consists of the Chief Justice of the United States and eight associate justices who are nominated by the President and confirmed by the Senate. Once appointed, justices have lifetime tenure unless they resign, retire, or are removed from office. Each justice has a single vote in deciding the cases argued before it; the chief justice's vote counts no more than that of any other justice. However, the Chief Justice--when in the majority--decides who writes the court's opinion. Otherwise, the senior justice in the majority assigns the writing of a decision. In modern discourse, the justices are often categorized as having conservative, moderate, or liberal philosophies of law and of judicial interpretation. While a far greater number of cases in recent history have been decided unanimously, decisions in cases of the highest profile have often come down to just one single vote, thereby exposing the justices' ideological beliefs that track with those philosophical or political categories. The Court meets in the Supreme Court Building in Washington, D.C. Its law-enforcement arm, the United States Marshals Service, is under the oversight of the U.S. Department of Justice."
does full moon occur same time around world,True,"A full moon is often thought of as an event of a full night's duration. This is somewhat misleading because its phase seen from Earth continuously waxes or wanes (though much too slowly to notice in real time with the naked eye). Its maximum illumination occurs at the moment waxing has stopped. For any given location, about half of these maximum full moons may be visible, while the other half occurs during the day, when the full moon is below the horizon."
is there such a thing as heat lightning,False,"Heat lightning, sometimes known as silent lightning or dry lightning (mainly used in the American south; not to be confused with dry thunderstorms, which are also often called dry lightning), is a misnomer used for the faint flashes of lightning on the horizon or other clouds from distant thunderstorms that do not appear to have accompanying sounds of thunder."
